cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"28417","1555","286671","0","Highland Falls Federal Savings and Loan Association","Highland Falls","NY","10928","6/30/2012","8/19/2019","SA","252 Main Street","","1","0","0","8","0","Orange","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1926","11/30/1934","7/6/2012","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","1734","1734","0","0","0","0","0","0"
"31232","6581","652070","0","Highland Federal Savings and Loan Association","Crossville","TN","38555","6/30/2012","8/19/2019","SA","106 S. Main St, Suite 103","","2","0","0","8","0","Cumberland","","","2/16/1961","2/16/1961","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.highlandfederal.com","13170","13170","0","0","0","0","0","0"
"6198","0","681249","1881699","Highland State Bank","Highland","WI","53543","6/30/2012","8/19/2019","NM","541 North Main Street","SOUTHWESTERN WISCONSIN BANCSHARES, INC.","1","0","0","8","1","Iowa","31540","Madison, WI","6/1/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.highlandstatebank.net","7380","6719","0","661","0","0","0","0"
"57420","0","3125315","0","Highlands Community Bank","Covington","VA","24426","6/30/2012","8/19/2019","SM","307 Thacker Avenue","","2","0","0","8","0","Covington City","","","9/16/2002","9/16/2002","5/28/2018","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.highlandscommunitybank.com","16115","14681","0","1434","0","0","0","0"
"26428","10432","659538","2638014","Highlands Independent Bank","Sebring","FL","33871","6/30/2012","8/19/2019","NM","2600 U.S. Highway 27, North","HIGHLANDS INDEPENDENT BANCSHARES, INC.","6","0","0","4","0","Highlands","42700","Sebring, FL","11/1/1985","11/1/1985","10/24/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","67864","53369","0","14495","0","0","0","0"
"58048","0","3386590","4136037","Highlands State Bank","Vernon","NJ","7462","6/30/2012","8/19/2019","NM","310 Route 94, P.O. Box 160","HIGHLANDS BANCORP, INC.","3","0","0","4","0","Sussex","35620","New York-Newark-Jersey City, NY-NJ-PA","10/17/2005","10/17/2005","10/2/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","51475","40928","0","10547","0","0","0","0"
"26191","12009","969424","2391270","Highlands Union Bank","Abingdon","VA","24210","6/30/2012","8/19/2019","SM","340 West Main Street","HIGHLANDS BANKSHARES, INC.","14","0","1","4","0","Washington","28700","Kingsport-Bristol-Bristol, TN-VA","4/27/1985","4/27/1985","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.hubank.com","148947","134975","293","13679","0","0","0","0"
"11902","12151","554268","2100119","Hill Bank & Trust Co.","Weimar","TX","78962","6/30/2012","8/19/2019","NM","201 East Main Street","CENTRAL TEXAS BANKSHARE HOLDINGS, INC.","1","0","0","2","0","Colorado","","","11/4/1931","1/1/1934","6/14/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.hillbankandtrustco.com","30607","28714","0","1893","0","0","0","0"
"14650","9204","731247","1245291","Hills Bank and Trust Company","Hills","IA","52235","6/30/2012","8/19/2019","NM","131 Main Street","HILLS BANCORPORATION","18","0","0","4","0","Johnson","26980","Iowa City, IA","1/1/1904","8/1/1934","2/7/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.hillsbank.com","120969","101963","13","18993","0","0","0","0"
"34747","0","2710554","0","Hillsboro Bank","Plant City","FL","33566","6/30/2012","8/19/2019","NM","509 West Alexander Street","","2","0","0","4","0","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","7/6/1998","7/6/1998","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","www.hillsborobank.com","25130","25130","0","0","0","0","0","0"
"14084","0","592859","1063132","Hillsboro State Bank","Hillsboro","KS","67063","6/30/2012","8/19/2019","NM","200 North Main Street","RAMONA BANKSHARES, INC.","1","0","0","2","0","Marion","","","3/6/1903","3/21/1934","3/6/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.hsbks.com","7586","5233","0","2353","0","0","0","0"
"14073","11305","682143","3340015","Hillsdale County National Bank","Hillsdale","MI","49242","6/30/2012","8/19/2019","N","1 South Howell Street","CNB COMMUNITY BANCORP, INC.","13","0","0","4","0","Hillsdale","","","3/19/1934","3/19/1934","10/14/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.countynationalbank.com","154040","140262","2","13776","0","0","0","0"
"35235","0","2879992","3262818","Hilltop Community Bank","Summit","NJ","7901","6/30/2012","8/19/2019","NM","385 Springfield Avenue","HILLTOP COMMUNITY BANCORP, INC.","3","0","0","4","0","Union","35620","New York-Newark-Jersey City, NY-NJ-PA","2/7/2000","2/7/2000","11/7/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","17628","17584","0","44","0","0","0","0"
