cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2016","8/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","117141","107813","1","9327","0","0","0","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2016","8/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","14377","14360","0","17","0","0","0","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2016","8/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","3/5/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","21351","19761","1","1589","0","0","0","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2016","8/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","68737","59976","0","8761","0","0","0","0"
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2016","8/19/2019","SB","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","71531","68917","0","2614","0","0","0","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2016","8/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","137669","134979","0","2690","0","0","0","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2016","8/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","15296","14323","7","966","0","0","0","0"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","6/30/2016","8/19/2019","NM","5 Harris Court, Bldg N, # No","","5","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","4/11/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","223647","219965","0","3682","0","0","0","0"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","6/30/2016","8/19/2019","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","6/30/2016","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","76705","76705","0","0","0","0","0","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2016","8/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","58013","25829","0","32174","10","0","0","0"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2016","8/19/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","11340","10273","0","1067","0","0","0","0"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2016","8/19/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","19","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/10/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","85295","78025","0","7270","0","0","0","0"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2016","8/19/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","17589","17589","0","0","0","0","0","0"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2016","8/19/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","501","501","0","0","0","0","0","0"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2016","8/19/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","13290","12655","0","635","0","0","0","0"
"58548","0","3655081","0","1st Manatee Bank","Parrish","FL","34219","6/30/2016","8/19/2019","NM","12215 Us Highway 301 N","","3","0","0","4","0","Manatee","35840","North Port-Sarasota-Bradenton, FL","11/13/2007","11/13/2007","8/1/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","23012","23012","0","0","0","0","0","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2016","8/19/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","45502","40769","145","4588","0","0","0","0"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2016","8/19/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","12","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/14/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","213039","204784","10","8245","0","0","0","0"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2016","8/19/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","265812","235219","7","30586","0","0","0","0"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2016","8/19/2019","NM","4800 Fashion Sq Blvd, # 100","VALLEY FINANCIAL GROUP, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststatebk.com","88123","83158","0","4965","0","0","0","0"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2016","8/19/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","8","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.1ststatebankmc.com","7672","7538","11","123","0","0","0","0"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2016","8/19/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","87251","50991","2","36037","221","0","0","0"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","6/30/2016","8/19/2019","NM","24 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/15/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","56208","54350","0","1858","0","0","0","0"
"31249","6607","350572","3800630","1st United Bank","Faribault","MN","55021","6/30/2016","8/19/2019","NM","430 4th St Nw","FARIBAULT FSL BANCORPORATION, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","58677","56089","0","2588","0","0","0","0"
