ZIP,Latitude,Longitude
98037,47.8428,-122.2815
98036,47.805,-122.2658
98034,47.7212,-122.2055
98033,47.6748,-122.1863
98032,47.3932,-122.2618
98031,47.405,-122.1967
98030,47.37,-122.198
98029,47.5592,-122.003
98028,47.7551,-122.2433
98027,47.501,-121.9901
98026,47.8349,-122.3429
98022,47.1263,-121.5114
98021,47.7943,-122.2069
98020,47.8055,-122.3746
98019,47.733,-121.7983
98012,47.8442,-122.1944
98011,47.7506,-122.1996
98008,47.6074,-122.1087
98007,47.6172,-122.1429
98006,47.554,-122.1472
98005,47.6178,-122.1682
98004,47.6177,-122.202
98003,47.3146,-122.3158
98001,47.3062,-122.2657
97914,44.0878,-117.0166
97862,45.9005,-118.2314
97838,45.8495,-119.3138
97801,45.7342,-118.8344
97754,44.1322,-120.7661
97703,44.0915,-121.4073
97702,43.9799,-121.257
97701,44.0842,-121.2473
97633,42.0418,-121.5351
97630,42.456,-119.8744
97603,42.1856,-121.6523
97601,42.44,-122.0781
97540,42.1314,-122.8153
97538,42.3603,-123.7899
97535,42.2628,-122.8095
97530,42.1763,-123.0403
97526,42.539,-123.3176
97520,42.2005,-122.5212
97504,42.3406,-122.8121
97503,42.5514,-122.9033
97502,42.4465,-122.9368
97501,42.2869,-122.9
97495,43.2803,-123.3525
97478,44.1018,-122.8465
97477,44.0582,-123.0176
97471,43.2208,-123.5312
97467,43.7003,-123.7067
97448,44.2126,-123.2657
97446,44.2734,-123.0332
97440,44.0522,-123.0856
97439,44.0799,-124.0076
97438,43.9456,-122.4713
97423,43.2057,-124.1866
97420,43.3745,-124.0556
97417,42.9445,-123.2109
97408,44.1381,-123.0529
97405,43.9298,-123.2566
97403,44.0347,-123.0496
97402,44.0496,-123.1975
97401,44.0735,-123.0809
97376,44.5079,-123.9992
97338,44.9226,-123.3497
97333,44.4809,-123.2902
97331,44.5638,-123.281
97330,44.6436,-123.2672
97322,44.637,-123.0003
97321,44.6246,-123.1391
97317,44.9048,-122.894
97309,44.8996,-122.9288
97305,45.0134,-122.9443
97303,45.0226,-123.031
97302,44.9024,-123.0571
97301,44.9345,-123.0013
97281,45.4316,-122.7698
97267,45.4029,-122.6228
97266,45.4733,-122.5579
97239,45.4913,-122.6917
97232,45.5296,-122.643
97230,45.5401,-122.4969
97229,45.5518,-122.8073
97228,45.5308,-122.6834
97227,45.5387,-122.6732
97225,45.4979,-122.7667
97224,45.4029,-122.7984
97223,45.4473,-122.7668
97222,45.4368,-122.6141
97221,45.499,-122.7279
97220,45.5643,-122.5559
97218,45.5742,-122.5965
97217,45.5914,-122.686
97216,45.5137,-122.558
97215,45.514,-122.599
97214,45.5175,-122.6442
97213,45.5435,-122.5993
97212,45.5477,-122.6433
97211,45.5818,-122.6407
97210,45.5499,-122.7308
97209,45.533,-122.6851
97208,45.5308,-122.6835
97207,45.5203,-122.6874
97206,45.4731,-122.5991
97205,45.5172,-122.7101
97204,45.5169,-122.6759
97203,45.6095,-122.7468
97202,45.4788,-122.6448
97201,45.5099,-122.6875
97148,45.326,-123.3463
97140,45.358,-122.8674
97132,45.3207,-123.012
97128,45.1925,-123.2452
97124,45.5844,-122.9121
97123,45.4443,-122.9644
97119,45.4798,-123.2884
97116,45.6107,-123.1892
97115,45.2646,-123.0293
97114,45.192,-123.0746
97113,45.5218,-123.05
97086,45.4498,-122.5295
97071,45.1378,-122.8042
97070,45.3098,-122.7592
97068,45.3458,-122.6767
97062,45.3667,-122.7541
97060,45.531,-122.3796
97058,45.5472,-121.1519
97056,45.7796,-122.9799
97055,45.3605,-122.1661
97045,45.3219,-122.546
97042,45.2057,-122.5209
97041,45.4145,-121.6193
97035,45.4101,-122.7246
97034,45.4091,-122.6808
97031,45.5654,-121.7166
97030,45.5074,-122.4229
97024,45.549,-122.4395
97015,45.4116,-122.5296
97013,45.215,-122.6615
97008,45.4597,-122.7978
97007,45.4479,-122.8826
97006,45.5245,-122.8609
97005,45.4979,-122.8089
97003,45.5072,-122.8847
97002,45.2411,-122.8137
96952,15.0131,145.6315
96951,14.1573,145.2145
96950,15.1889,145.7535
96932,13.4754,144.7418
96931,13.49472,144.7771
96929,13.5651,144.8762
96921,13.4591,144.794
96915,13.378,144.7016
96913,13.4778,144.8145
96910,13.4547,144.7509
96848,21.3046,-157.8072
96826,21.2916,-157.8248
96825,21.2891,-157.693
96822,21.3233,-157.8087
96821,21.3018,-157.7492
96819,21.3539,-157.866
96818,21.3457,-157.9263
96817,21.3361,-157.8485
96816,21.2967,-157.7963
96815,21.2724,-157.8145
96814,21.2967,-157.8458
96813,21.3193,-157.84
96812,21.3065,-157.8597
96804,21.3068,-157.8597
96797,21.4032,-158.0145
96795,21.3449,-157.7261
96793,20.8963,-156.5321
96790,20.7028,-156.2712
96789,21.4703,-157.9572
96788,20.8334,-156.334
96786,21.5474,-157.9891
96785,19.428,-155.2353
96782,21.4185,-157.9612
96778,19.3885,-155.1454
96772,19.1822,-155.5892
96768,20.844,-156.338
96761,20.831,-156.9033
96756,21.9145,-159.4534
96753,20.7416,-156.4356
96748,21.1356,-157.0064
96743,19.9736,-155.7097
96740,19.7103,-155.891
96738,19.928,-155.7868
96734,21.3984,-157.7503
96732,20.8788,-156.4548
96720,19.7366,-155.3746
96708,20.8534,-156.2546
96707,21.3914,-158.0698
96706,21.3434,-158.0159
96701,21.4082,-157.8933
96161,39.3496,-120.3318
96148,39.2332,-120.0653
96130,40.5661,-120.6015
96123,40.8056,-120.2878
96080,40.1136,-122.409
96067,41.3614,-122.2973
96019,40.6904,-122.3783
96003,40.6891,-122.273
96002,40.5271,-122.3251
96001,40.6076,-122.4872
95991,39.0617,-121.6201
95973,40.029,-121.8153
95971,39.9256,-120.8659
95966,39.485,-121.4096
95965,39.5861,-121.5866
95962,39.3478,-121.2678
95961,39.081,-121.5515
95959,39.3528,-120.8909
95954,39.8499,-121.601
95949,39.1108,-121.095
95945,39.2192,-121.0238
95928,39.7136,-121.8182
95927,39.7344,-121.834
95926,39.7414,-121.8498
95917,39.4274,-121.8231
95864,38.5876,-121.3766
95843,38.7187,-121.3599
95842,38.6774,-121.3526
95841,38.6647,-121.3415
95838,38.6434,-121.4413
95835,38.6976,-121.5636
95834,38.6522,-121.5249
95833,38.6148,-121.5138
95831,38.4884,-121.5291
95828,38.4838,-121.3977
95827,38.5576,-121.3324
95826,38.5478,-121.3817
95825,38.5859,-121.4109
95824,38.5177,-121.4412
95821,38.6284,-121.3856
95819,38.5723,-121.4377
95818,38.5569,-121.4962
95817,38.5496,-121.4518
95816,38.5704,-121.4676
95815,38.607,-121.4448
95814,38.5779,-121.4968
95811,38.5835,-121.4593
95798,38.5385,-121.555
95776,38.6891,-121.7051
95765,38.8164,-121.2817
95762,38.6862,-121.0724
95758,38.4191,-121.4487
95757,38.3164,-121.4425
95747,38.7884,-121.3624
95746,38.7618,-121.1717
95742,38.5837,-121.2051
95736,39.0375,-120.9714
95726,38.7393,-120.4825
95724,39.3181,-120.355
95720,38.7203,-120.195
95713,39.1043,-120.9005
95695,38.7137,-121.8617
95694,38.5609,-121.99
95691,38.6434,-121.607
95688,38.4177,-122.0069
95687,38.3505,-121.9371
95682,38.6141,-120.9534
95678,38.7585,-121.2858
95677,38.8066,-121.2279
95671,38.6901,-121.4492
95670,38.6062,-121.2913
95667,38.7489,-120.8481
95662,38.6842,-121.2292
95661,38.7441,-121.2484
95660,38.667,-121.3758
95652,38.6638,-121.3991
95648,38.9391,-121.2533
95632,38.2513,-121.3039
95630,38.6756,-121.1443
95628,38.6498,-121.2512
95624,38.442,-121.316
95621,38.6926,-121.3077
95620,38.382,-121.7878
95618,38.534,-121.6682
95617,38.545,-121.7394
95616,38.4792,-121.64
95610,38.6868,-121.2761
95609,38.6172,-121.3272
95608,38.6275,-121.3264
95605,38.5931,-121.541
95603,38.9208,-121.1097
95602,39.0008,-121.1299
95531,41.6635,-123.837
